State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,Latitude,Longitude
gujarat,ahmedabad,ahmedabad,Ginger(Green),Other,FAQ,28-02-2025,3200,4100,3800,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Mango (Raw-Ripe),Other,FAQ,28-02-2025,4000,6000,5250,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Papaya (Raw),Other,FAQ,28-02-2025,1000,1600,1550,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Peas Wet,Other,FAQ,28-02-2025,1500,2500,2150,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Pointed gourd (Parval),Other,FAQ,28-02-2025,3000,5000,4450,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Tomato,Other,FAQ,28-02-2025,200,700,500,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,28-02-2025,3000,5000,4500,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Brinjal,Other,FAQ,28-02-2025,500,1800,1150,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Onion Green,Other,FAQ,28-02-2025,500,1300,900,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Sweet Potato,Other,FAQ,28-02-2025,1000,2000,1400,22.15,71.89166667
gujarat,ahmedabad,ahmedabad(chimanbhai patal market vasana),Onion,Local,FAQ,28-02-2025,1500,2800,2550,22.15,71.89166667
gujarat,ahmedabad,ahmedabad(chimanbhai patal market vasana),Onion,Nasik,FAQ,28-02-2025,1500,3200,2950,22.15,71.89166667
gujarat,ahmedabad,ahmedabad(chimanbhai patal market vasana),Potato,Chips,FAQ,28-02-2025,1500,2000,1850,22.15,71.89166667
gujarat,ahmedabad,ahmedabad(chimanbhai patal market vasana),Potato,Desi,FAQ,28-02-2025,650,1200,1050,22.15,71.89166667
maharashtra,ahmednagar,ahmednagar,Bengal Gram(Gram)(Whole),Other,Non-FAQ,28-02-2025,5000,5350,5175,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Castor Seed,Other,Local,28-02-2025,5200,5200,5200,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Green Gram (Moong)(Whole),Other,Non-FAQ,28-02-2025,5000,7000,6000,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Jowar(Sorghum),Other,Local,28-02-2025,1850,3300,2575,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Chili Red,Other,Local,28-02-2025,5000,14550,9775,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Bengal Gram(Gram)(Whole),Kabul Small,FAQ,28-02-2025,6500,6500,6500,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Gur(Jaggery),Other,Local,28-02-2025,3400,5300,4350,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Wheat,Other,FAQ,28-02-2025,2600,3050,2825,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,28-02-2025,6000,6500,6250,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,28-02-2025,1800,2100,1950,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,28-02-2025,3000,3100,3050,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Maize,Other,Non-FAQ,28-02-2025,1700,2000,1850,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Soyabean,Other,Local,28-02-2025,3900,3900,3900,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,28-02-2025,6000,7200,6600,19.53666667,73.76944444
maharashtra,ahmednagar,ahmednagar,Tamarind Seed,Other,Local,28-02-2025,3000,3100,3050,19.53666667,73.76944444
madhya pradesh,panna,ajaygarh,Groundnut,Big (With Shell),FAQ,28-02-2025,4300,4300,4300,24.84166667,80.26694444
madhya pradesh,panna,ajaygarh,Green Peas,Pea,FAQ,28-02-2025,3500,3620,3550,24.84166667,80.26694444
madhya pradesh,panna,ajaygarh,Bengal Gram(Gram)(Whole),Desi (F.A.Q. Split),FAQ,28-02-2025,5500,5600,5600,24.84166667,80.26694444
madhya pradesh,panna,ajaygarh,Wheat,Mill Quality,FAQ,28-02-2025,2800,2920,2900,24.84166667,80.26694444
chattisgarh,janjgir,akaltara,Paddy(Dhan)(Common),D.B.,FAQ,28-02-2025,2120,2135,2125,21.9667,82.0667
chattisgarh,janjgir,akaltara,Paddy(Dhan)(Common),1001,FAQ,28-02-2025,2100,2150,2120,21.9667,82.0667
maharashtra,akola,akola,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,28-02-2025,6400,7545,7300,20.73666667,77.00722222
maharashtra,akola,akola,Bengal Gram(Gram)(Whole),Other,FAQ,28-02-2025,5440,5725,5490,20.73666667,77.00722222
maharashtra,akola,akola,Bengal Gram(Gram)(Whole),Other,Non-FAQ,28-02-2025,4700,5435,5000,20.73666667,77.00722222
maharashtra,akola,akola,Cotton,Desi,Local,28-02-2025,7421,7421,7421,20.73666667,77.00722222
maharashtra,akola,akola,Potato,Other,Local,28-02-2025,1200,1500,1400,20.73666667,77.00722222
maharashtra,akola,akola,Arhar (Tur/Red Gram)(Whole),Other,FAQ,28-02-2025,7555,7690,7600,20.73666667,77.00722222
maharashtra,akola,akola,Wheat,Other,FAQ,28-02-2025,2455,3000,2735,20.73666667,77.00722222
maharashtra,akola,akola,Green Gram (Moong)(Whole),Green (Whole),Non-FAQ,28-02-2025,6050,6050,6050,20.73666667,77.00722222
maharashtra,akola,akola,Garlic,Other,Local,28-02-2025,6000,8000,7000,20.73666667,77.00722222
maharashtra,akola,akola,Ginger(Green),Other,Local,28-02-2025,2500,3500,3000,20.73666667,77.00722222
maharashtra,akola,akola,Bengal Gram(Gram)(Whole),Kabul Small,FAQ,28-02-2025,8050,8050,8050,20.73666667,77.00722222
maharashtra,akola,akola,Soyabean,Yellow,Non-FAQ,28-02-2025,3250,4050,3950,20.73666667,77.00722222
maharashtra,akola,akola,Onion,Other,Local,28-02-2025,1000,2500,2000,20.73666667,77.00722222
maharashtra,akola,akola,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,28-02-2025,3705,3705,3705,20.73666667,77.00722222
maharashtra,akola,akola,Chili Red,Other,Local,28-02-2025,11000,15000,12000,20.73666667,77.00722222
maharashtra,akola,akola,Jowar(Sorghum),Other,Non-FAQ,28-02-2025,1905,2550,1985,20.73666667,77.00722222
telangana,mahbubnagar,alampur,Maize,Local,FAQ,28-02-2025,1800,2300,2225,16.41611111,78.68583333
maharashtra,raigad,alibagh,Rice,Other,Local,28-02-2025,2500,2700,2600,18.49472222,72.98222222
madhya pradesh,alirajpur,alirajpur,Bengal Gram(Gram)(Whole),Chana Kanta,FAQ,28-02-2025,54,5400,5400,22.30944444,74.3525
madhya pradesh,alirajpur,alirajpur,Groundnut,Big (With Shell),Non-FAQ,28-02-2025,4300,4300,4300,22.30944444,74.3525
madhya pradesh,alirajpur,alirajpur,Wheat,Wheat,FAQ,28-02-2025,2600,2600,2600,22.30944444,74.3525
madhya pradesh,alirajpur,alirajpur,Wheat,Mill Quality,Non-FAQ,28-02-2025,2500,2500,2500,22.30944444,74.3525
chattisgarh,janjgir,amadula,Paddy(Dhan)(Common),Paddy Coarse,FAQ,28-02-2025,2250,2250,2250,21.9667,82.0667
maharashtra,amarawati,amarawati,Jowar(Sorghum),Other,Local,28-02-2025,1800,2100,1950,20.9333,77.75
maharashtra,amarawati,amarawati,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,28-02-2025,6100,6500,6300,20.9333,77.75
maharashtra,amarawati,amarawati,Bajra(Pearl Millet/Cumbu),Other,FAQ,28-02-2025,2625,2800,2712,20.9333,77.75
maharashtra,amarawati,amarawati,Cotton,Other,Local,28-02-2025,7075,7400,7237,20.9333,77.75
maharashtra,amarawati,amarawati,Wheat,Other,FAQ,28-02-2025,2800,3100,2950,20.9333,77.75
maharashtra,amarawati,amarawati,Green Gram (Moong)(Whole),Other,Non-FAQ,28-02-2025,7000,7500,7250,20.9333,77.75
maharashtra,amarawati,amarawati,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,28-02-2025,10000,10500,10250,20.9333,77.75
maharashtra,amarawati,amarawati,Maize,Deshi Red,FAQ,28-02-2025,2225,2300,2262,20.9333,77.75
maharashtra,amarawati,amarawati,Bengal Gram(Gram)(Whole),Other,FAQ,28-02-2025,5440,5661,5550,20.9333,77.75
maharashtra,amarawati,amarawati,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,28-02-2025,7100,7549,7324,20.9333,77.75
maharashtra,amarawati,amarawati,Soyabean,Other,Local,28-02-2025,3800,3961,3880,20.9333,77.75
maharashtra,beed,ambejaogai,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,28-02-2025,6900,7000,6950,18.79472222,76.19527778
maharashtra,beed,ambejaogai,Bengal Gram(Gram)(Whole),Other,Non-FAQ,28-02-2025,5100,5200,5150,18.79472222,76.19527778
maharashtra,beed,ambejaogai,Wheat,Red,FAQ,28-02-2025,2800,2800,2800,18.79472222,76.19527778
maharashtra,beed,ambejaogai,Soyabean,Yellow,Non-FAQ,28-02-2025,3850,4011,4000,18.79472222,76.19527778
maharashtra,gondiya,amgaon,Paddy(Dhan)(Common),Other,Non-FAQ,28-02-2025,2090,2130,2110,21.375,80.38333333
gujarat,banaskanth,amirgadh,Mustard,Other,FAQ,28-02-2025,5050,5475,5400,24.40555556,72.64166667
gujarat,banaskanth,amirgadh,Castor Seed,Castor seed,FAQ,28-02-2025,6200,6220,6220,24.40555556,72.64166667
gujarat,banaskanth,amirgadh,Bengal Gram(Gram)(Whole),Other,FAQ,28-02-2025,5500,5500,5500,24.40555556,72.64166667
gujarat,banaskanth,amirgadh,Soanf,Soanf,FAQ,28-02-2025,12500,32500,24000,24.40555556,72.64166667
gujarat,banaskanth,amirgadh,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,28-02-2025,2745,2755,2755,24.40555556,72.64166667
gujarat,banaskanth,amirgadh,Rajgir,Other,FAQ,28-02-2025,5000,5900,5750,24.40555556,72.64166667
maharashtra,amarawati,amrawati(frui & veg. market),Bhindi(Ladies Finger),Other,Local,28-02-2025,2500,3000,2750,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Spinach,Other,Local,28-02-2025,1000,1100,1050,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Carrot,Other,Local,28-02-2025,1000,1300,1150,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Beetroot,Other,Local,28-02-2025,1200,1400,1300,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Methi(Leaves),Other,Local,28-02-2025,1000,1200,1100,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Pumpkin,Other,Local,28-02-2025,800,1000,900,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Cauliflower,Other,Local,28-02-2025,1000,1200,1100,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Brinjal,Other,Local,28-02-2025,1000,1200,1100,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Cabbage,Other,Local,28-02-2025,600,700,650,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Chilly Capsicum,Other,Local,28-02-2025,1000,1200,1100,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Tomato,Local,Local,28-02-2025,700,800,750,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Ginger(Green),Other,Local,28-02-2025,2500,3000,2750,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Onion,Red,Local,28-02-2025,1000,2000,1500,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Green Chilli,Other,Local,28-02-2025,3000,3500,3250,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Bitter gourd,Other,Local,28-02-2025,3000,3200,3100,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Garlic,Other,Local,28-02-2025,3000,7000,5000,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Guar,Other,Local,28-02-2025,4000,4500,4250,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Cucumbar(Kheera),Other,Local,28-02-2025,1200,1400,1300,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Coriander(Leaves),Other,Local,28-02-2025,1000,1500,1250,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Potato,Local,Local,28-02-2025,800,1400,1100,20.9333,77.75
maharashtra,amarawati,amrawati(frui & veg. market),Peas Wet,Other,Local,28-02-2025,2000,2400,2200,20.9333,77.75
gujarat,amreli,amreli,Castor Seed,Castor seed,FAQ,28-02-2025,5000,6125,6075,21.60833333,71.225
gujarat,amreli,amreli,Arhar (Tur/Red Gram)(Whole),Hybrid,FAQ,28-02-2025,4545,7085,6860,21.60833333,71.225
gujarat,amreli,amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,28-02-2025,8000,11310,10825,21.60833333,71.225
gujarat,amreli,amreli,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,28-02-2025,2610,2850,2850,21.60833333,71.225
gujarat,amreli,amreli,Mustard,Mustard,FAQ,28-02-2025,5005,6175,5950,21.60833333,71.225
gujarat,amreli,amreli,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,28-02-2025,12500,19650,18000,21.60833333,71.225
gujarat,amreli,amreli,Ajwan,Ajwan,FAQ,28-02-2025,8550,10500,10500,21.60833333,71.225
gujarat,amreli,amreli,Wheat,Rajasthan Tukdi,FAQ,28-02-2025,2500,3400,2885,21.60833333,71.225
gujarat,amreli,amreli,Wheat,Lokwan,FAQ,28-02-2025,2550,3175,2750,21.60833333,71.225
gujarat,amreli,amreli,Cotton,Other,FAQ,28-02-2025,4350,7425,7085,21.60833333,71.225
gujarat,amreli,amreli,Black Gram (Urd Beans)(Whole),Hybrid,FAQ,28-02-2025,5125,7100,5725,21.60833333,71.225
gujarat,amreli,amreli,Chili Red,Bold,FAQ,28-02-2025,1650,13750,11250,21.60833333,71.225
gujarat,amreli,amreli,Corriander seed,Coriander Seed,FAQ,28-02-2025,4500,8850,7350,21.60833333,71.225
gujarat,amreli,amreli,Bengal Gram(Gram)(Whole),Other,FAQ,28-02-2025,4575,5210,5125,21.60833333,71.225
gujarat,amreli,amreli,Groundnut,Big (With Shell),FAQ,28-02-2025,4050,5500,5185,21.60833333,71.225
gujarat,amreli,amreli,Groundnut,Bold,FAQ,28-02-2025,4050,5365,5160,21.60833333,71.225
gujarat,amreli,amreli,Soyabean,Soyabeen,FAQ,28-02-2025,3350,3765,3685,21.60833333,71.225
gujarat,amreli,amreli,Jowar(Sorghum),Jowar ( White),FAQ,28-02-2025,3600,4610,4395,21.60833333,71.225
gujarat,anand,"anand(veg,yard,anand)",Spinach,Spinach,FAQ,28-02-2025,1000,1500,1200,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Tomato,Other,FAQ,28-02-2025,200,300,250,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Cauliflower,Cauliflower,FAQ,28-02-2025,250,500,350,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Bottle gourd,Bottle Gourd,FAQ,28-02-2025,750,1000,900,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Carrot,Carrot,FAQ,28-02-2025,750,1000,800,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Brinjal,Brinjal,FAQ,28-02-2025,250,500,350,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Onion,Onion,FAQ,28-02-2025,2000,3000,2500,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Potato,Potato,FAQ,28-02-2025,500,1000,750,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Cabbage,Cabbage,FAQ,28-02-2025,200,300,250,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Green Chilli,Green Chilly,FAQ,28-02-2025,1000,1500,1300,22.54444444,73.07083333
gujarat,anand,"anand(veg,yard,anand)",Bhindi(Ladies Finger),Bhindi,FAQ,28-02-2025,2500,3000,2800,22.54444444,73.07083333
madhya pradesh,badwani,anjad,Maize,Yellow,FAQ,28-02-2025,1680,2200,1875,21.25,75.35
madhya pradesh,badwani,anjad,Wheat,Wheat,FAQ,28-02-2025,2600,2600,2600,21.25,75.35
madhya pradesh,badwani,anjad,Cotton,Without Ginned Cotton,FAQ,28-02-2025,6600,6600,6600,21.25,75.35
madhya pradesh,badwani,anjad,Maize,Local,FAQ,28-02-2025,1790,2000,2000,21.25,75.35
gujarat,bharuch,ankleshwar,Carrot,Carrot,FAQ,28-02-2025,800,1200,900,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Ginger(Green),Green Ginger,FAQ,28-02-2025,2000,4000,3000,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Cucumbar(Kheera),Cucumbar,FAQ,28-02-2025,1000,1500,1200,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Capsicum,Capsicum,FAQ,28-02-2025,1200,2000,1500,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Methi(Leaves),Methi,FAQ,28-02-2025,1000,1500,1200,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Potato,Potato,FAQ,28-02-2025,1000,1600,1500,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Lemon,Lemon,FAQ,28-02-2025,5000,7000,6000,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Cabbage,Cabbage,FAQ,28-02-2025,300,500,400,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Green Chilli,Green Chilly,FAQ,28-02-2025,2000,3500,2500,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Bottle gourd,Bottle Gourd,FAQ,28-02-2025,500,700,600,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Tomato,Tomato,FAQ,28-02-2025,400,700,500,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Cauliflower,Cauliflower,FAQ,28-02-2025,400,800,600,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Bhindi(Ladies Finger),Bhindi,FAQ,28-02-2025,2500,3500,3000,21.91666667,72.79166667
gujarat,bharuch,ankleshwar,Brinjal,Brinjal,FAQ,28-02-2025,700,1500,1200,21.91666667,72.79166667
madhya pradesh,anupur,anuppur,Paddy(Dhan)(Common),Other,Non-FAQ,28-02-2025,2000,2000,2000,23.0333,81.7833
madhya pradesh,anupur,anuppur,Niger Seed (Ramtil),Ramatilli,Non-FAQ,28-02-2025,8000,8000,8000,23.0333,81.7833
madhya pradesh,anupur,anuppur,Paddy(Dhan)(Common),Dhan,FAQ,28-02-2025,2125,2125,2125,23.0333,81.7833
madhya pradesh,anupur,anuppur,Wheat,Wheat,FAQ,28-02-2025,2700,2700,2700,23.0333,81.7833
chattisgarh,raipur,arang,Wheat,147 Average,Non-FAQ,28-02-2025,200,2634,1400,21.2514,81.6296
chattisgarh,raipur,arang,Paddy(Dhan)(Common),D.B.,FAQ,28-02-2025,2200,2200,2200,21.2514,81.6296
karnataka,hassan,arasikere,Coconut,Grade-III,FAQ,28-02-2025,19900,19900,19900,13.02777778,75.89583333
karnataka,hassan,arasikere,Ragi (Finger Millet),Local,FAQ,28-02-2025,2700,2700,2700,13.02777778,75.89583333
karnataka,hassan,arasikere,Copra,Copra,FAQ,28-02-2025,13800,14640,14045,13.02777778,75.89583333
karnataka,hassan,arasikere,Elephant Yam (Suran),Elephant Yam (Suran),FAQ,28-02-2025,2800,5200,3200,13.02777778,75.89583333
karnataka,hassan,arasikere,Copra,other,FAQ,28-02-2025,8100,11000,11000,13.02777778,75.89583333
maharashtra,gadchiroli,armori,Paddy(Dhan)(Common),Other,FAQ,28-02-2025,2600,2800,2750,19.53333333,80.06666667
madhya pradesh,guna,aron,Mustard,Mustard,FAQ,28-02-2025,4895,5590,5590,25.95194444,77.93083333
madhya pradesh,guna,aron,Soyabean,Soyabeen,FAQ,28-02-2025,3600,4123,3905,25.95194444,77.93083333
madhya pradesh,guna,aron,Lak(Teora),Tiwada,FAQ,28-02-2025,4050,4050,4050,25.95194444,77.93083333
madhya pradesh,ashoknagar,ashoknagar,Maize,Yellow,FAQ,28-02-2025,2134,2145,2140,23.9,77.45
madhya pradesh,ashoknagar,ashoknagar,Maize,Sweet Corn (For Biscuits),FAQ,28-02-2025,2156,2156,2156,23.9,77.45
madhya pradesh,ashoknagar,ashoknagar,Lak(Teora),Tivra-Organic,FAQ,28-02-2025,3810,3810,3810,23.9,77.45
madhya pradesh,ashoknagar,ashoknagar,Coriander(Leaves),Coriander,FAQ,28-02-2025,5311,6890,6890,23.9,77.45
madhya pradesh,ashoknagar,ashoknagar,Coriander(Leaves),Coriander-Organic,FAQ,28-02-2025,5690,6650,6650,23.9,77.45
madhya pradesh,ashoknagar,ashoknagar,Soyabean,Soybean-Organic,FAQ,28-02-2025,3380,3776,3776,23.9,77.45
madhya pradesh,ashoknagar,ashoknagar,Maize,Deshi Red,FAQ,28-02-2025,1751,2161,2161,23.9,77.45
madhya pradesh,ashoknagar,ashoknagar,Paddy(Dhan)(Common),Dhan,FAQ,28-02-2025,2100,2850,2785,23.9,77.45
maharashtra,latur,aurad shahajani,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,28-02-2025,4950,5545,5247,18.7,76.93333333
maharashtra,latur,aurad shahajani,Jowar(Sorghum),Jowar ( White),Local,28-02-2025,1850,1850,1850,18.7,76.93333333
maharashtra,latur,aurad shahajani,Bengal Gram(Gram)(Whole),Other,Non-FAQ,28-02-2025,5250,5408,5329,18.7,76.93333333
maharashtra,latur,aurad shahajani,Soyabean,Yellow,Non-FAQ,28-02-2025,3930,4000,3965,18.7,76.93333333
maharashtra,latur,aurad shahajani,Wheat,Maharashtra 2189,FAQ,28-02-2025,2700,2899,2799,18.7,76.93333333
maharashtra,latur,aurad shahajani,Green Gram (Moong)(Whole),Green (Whole),Non-FAQ,28-02-2025,5800,5800,5800,18.7,76.93333333
madhya pradesh,hoshangabad,babai,Wheat,Mill Quality,Non-FAQ,28-02-2025,2800,2800,2800,22.73555556,78.07361111
gujarat,amreli,babra,Cummin Seed(Jeera),Other,FAQ,28-02-2025,11375,20625,19000,21.52083333,71.13611111
gujarat,amreli,babra,Cotton,Shanker 6 (B) 30mm FIne,FAQ,28-02-2025,7100,7500,7300,21.52083333,71.13611111
gujarat,amreli,babra,Wheat,Other,FAQ,28-02-2025,2650,3150,2900,21.52083333,71.13611111
madhya pradesh,chhatarpur,badamalhera,Soyabean,Soyabeen,FAQ,28-02-2025,3780,3940,3800,24.54694444,79.25277778
madhya pradesh,chhatarpur,badamalhera,Groundnut,Big (With Shell),FAQ,28-02-2025,3600,3750,3750,24.54694444,79.25277778
madhya pradesh,chhatarpur,badamalhera,Black Gram (Urd Beans)(Whole),Urda/Urd,FAQ,28-02-2025,4200,5100,5100,24.54694444,79.25277778
madhya pradesh,shivpuri,badarwas,Wheat,Wheat,Non-FAQ,28-02-2025,2900,2900,2900,24.97472222,77.56805556
madhya pradesh,shivpuri,badarwas,Bengal Gram(Gram)(Whole),Gram,FAQ,28-02-2025,5580,5580,5580,24.97472222,77.56805556
madhya pradesh,shivpuri,badarwas,Soyabean,Soyabeen,Non-FAQ,28-02-2025,3550,3960,3960,24.97472222,77.56805556
madhya pradesh,ujjain,badnagar,Kabuli Chana(Chickpeas-White),Dollar Gram,FAQ,28-02-2025,3800,7960,5000,23.14416667,75.55416667
madhya pradesh,ujjain,badnagar,Rayee,Raee,FAQ,28-02-2025,5000,5221,5221,23.14416667,75.55416667
madhya pradesh,ujjain,badnagar,Wheat,Wheat,FAQ,28-02-2025,2550,2770,2700,23.14416667,75.55416667
madhya pradesh,ujjain,badnagar,Wheat,Wheat,Non-FAQ,28-02-2025,2700,2740,2700,23.14416667,75.55416667
madhya pradesh,dhar,badnawar,Soyabean,Soyabeen,Non-FAQ,28-02-2025,3471,3800,3800,22.76666667,75.21944444
madhya pradesh,dhar,badnawar,Garlic,New Medium,FAQ,28-02-2025,2500,5150,5150,22.76666667,75.21944444
madhya pradesh,dhar,badnawar,Wheat,Mill Quality,FAQ,28-02-2025,3000,3000,3000,22.76666667,75.21944444
